codepoint,name
E144,LATIN CAPITAL LETTER I WITH COMMA ABOVE
E145,LATIN CAPITAL LETTER I WITH RING BELOW
E146,LATIN CAPITAL LETTER I WITH CIRCUMFLEX BELOW
E147,LATIN CAPITAL LETTER I WITH BREVE BELOW
E148,LATIN CAPITAL LETTER I WITH INVERTED BREVE BELOW
E149,LATIN CAPITAL LETTER I WITH MACRON BELOW
E14A,LATIN CAPITAL LETTER I WITH LATIN SMALL LETTER E ABOVE
E14B,LATIN CAPITAL LETTER I WITH LATIN SMALL LETTER V ABOVE
E14C,LATIN CAPITAL LETTER I WITH INVERTED OGONEK
E14D,LATIN CAPITAL LETTER I WITH LEFT ARROWHEAD
E153,LATIN CAPITAL LETTER J WITH ACUTE
E154,LATIN CAPITAL LETTER J WITH MACRON
E155,LATIN CAPITAL LETTER J WITH RING ABOVE
E156,LATIN CAPITAL LETTER J WITH CARON
E157,LATIN CAPITAL LETTER J WITH CARON AND ACUTE ABOVE
E158,LATIN CAPITAL LETTER J WITH CARON AND DOT BELOW
E159,LATIN CAPITAL LETTER J WITH RING BELOW
E15A,LATIN CAPITAL LETTER J WITH MACRON BELOW
E15B,LATIN CAPITAL LETTER J WITH THREE DOT ABOVE
E164,LATIN CAPITAL LETTER K WITH GRAVE
E165,LATIN CAPITAL LETTER K WITH CIRCUMFLEX
E166,LATIN CAPITAL LETTER K WITH TILDE
E167,LATIN CAPITAL LETTER K WITH BREVE
E168,LATIN CAPITAL LETTER K WITH DOT ABOVE
E169,LATIN CAPITAL LETTER K WITH DIAERESIS
E16A,LATIN CAPITAL LETTER K WITH INVERTED BREVE
E16B,LATIN CAPITAL LETTER K WITH COMMA ABOVE
E16C,LATIN CAPITAL LETTER K WITH REVERSED COMMA ABOVE
E16D,LATIN CAPITAL LETTER K WITH COMMA ABOVE RIGHT
E16E,LATIN CAPITAL LETTER K WITH PALATALIZED HOOK BELOW
E16F,LATIN CAPITAL LETTER K WITH COMMA BELOW
E170,LATIN CAPITAL LETTER K WITH OGONEK
E171,LATIN CAPITAL LETTER K WITH INVERTED DOUBLE ARCH BELOW
E172,LATIN CAPITAL LETTER K WITH CARON BELOW
E173,LATIN CAPITAL LETTER K WITH BREVE BELOW
E174,LATIN CAPITAL LETTER K WITH SHORT SOLIDUS OVERLAY
E175,LATIN CAPITAL LETTER K WITH SUPERSCRIPT ONE
E176,LATIN CAPITAL LETTER K WITH SUPERSCRIPT TWO
E177,LATIN CAPITAL LETTER K WITH MODIFIER LETTER SMALL U SUPERSCRIPT WITH INVERTED BREVE BELOW
E178,LATIN CAPITAL LETTER K WITH MODIFIER LETTER SMALL DOTLESS I SUPERSCRIPT LEFT
E179,LATIN CAPITAL LETTER K WITH MODIFIER LETTER SMALL U SUPERSCRIPT LEFT
E17A,LATIN CAPITAL LETTER K WITH MODIFIER LETTER SMALL U SUPERSCRIPT LEFT WITH DIAERESIS
E17B,LATIN SCAPITAL LETTER K WITH REVERSED COMMA ABOVE RIGHT
E17C,LATIN CAPITAL LETTER K WITH TURNED COMMA ABOVE RIGHT
E17D,LATIN CAPITAL LETTER K WITH REVERSED COMMA BELOW
E17E,LATIN CAPITAL LETTER K WITH COMMA CENTRED
E17E,MODIFIER LETTER SMALL U SUPERSCRIPT LEFT AND LATIN CAPITAL LETTER K
E17F,LATIN CAPITAL LETTER K WITH LEFT HALF RING ABOVE
E180,LATIN CAPITAL LETTER K WITH LEFT HALF RING ABOVE RIGHT
E181,LATIN CAPITAL LETTER K WITH RING ABOVE RIGHT
E182,LATIN CAPITAL LETTER K WITH TOCHARIAN BOW DOWN AND MODIFIER LETTER SMALL U
E183,LATIN CAPITAL LETTER K WITH ACUTE ABOVE RIGHT
E184,LATIN CAPITAL LETTER K WITH VERTICAL LINE ABOVE RIGHT
E185,LATIN CAPITAL LETTER K WITH ACUTE CENTRED
E186,LATIN CAPITAL LETTER KH WITH LOW LINE
E187,LATIN CAPITAL LETTER K WITH SMALL LETTER H AND LOW LINE
E188,MODIFIER LETTER SMALL O SUBSCRIPT WITH TOCHARIAN BOW UP AND LATIN CAPITAL LETTER K
E189,MODIFIER LETTER SMALL O SUBSCRIPT WITH TOCHARIAN BOW UP AND LATIN CAPITAL LETTER K WITH LOW LINE
E18A,MODIFIER LETTER SMALL U SUBSCRIPT WITH TOCHARIAN BOW UP AND LATIN CAPITAL LETTER K
E18B,MODIFIER LETTER SMALL U SUBSCRIPT WITH TOCHARIAN BOW UP AND LATIN CAPITAL LETTER K WITH LOW LINE
E18D,LATIN CAPITAL LETTER L WITH APOSTROPHE AND DOT BELOW
E18E,LATIN CAPITAL LETTER L WITH GRAVE AND DOT BELOW
E18F,LATIN CAPITAL LETTER L WITH GRAVE AND RING BELOW
E190,LATIN CAPITAL LETTER L WITH ACUTE AND DOT BELOW
E191,LATIN CAPITAL LETTER L WITH ACUTE AND RING BELOW
E192,LATIN CAPITAL LETTER L WITH CIRCUMFLEX
E193,LATIN CAPITAL LETTER L WITH CIRCUMFLEX AND CEDILLA
E194,LATIN CAPITAL LETTER L WITH TILDE
E195,LATIN CAPITAL LETTER L WITH TILDE AND CEDILLA
E196,LATIN CAPITAL LETTER L WITH MACRON
E197,LATIN CAPITAL LETTER L WITH MACRON AND ACUTE AND DOT BELOW
E198,LATIN CAPITAL LETTER L WITH MACRON AND ACUTE AND RING BELOW
E199,LATIN CAPITAL LETTER L WITH MACRON AND BREVE AND DOT BELOW
E19A,LATIN CAPITAL LETTER L WITH MACRON AND BREVE AND RING BELOW
E19B,LATIN CAPITAL LETTER L WITH MACRON AND DIAERESIS BELOW
E19C,LATIN CAPITAL LETTER L WITH MACRON AND RING BELOW
E19D,LATIN CAPITAL LETTER L WITH CANDRABINDU
E19E,LATIN CAPITAL LETTER L WITH DOT ABOVE
